queries/correct,queries/error,users,timestamp
283,3,286,2018-09-01 2:00:40
307,3,310,2018-09-01 2:15:40
277,3,280,2018-09-01 2:30:40
242,1,243,2018-09-01 2:45:39
221,1,222,2018-09-01 3:00:40
216,0,216,2018-09-01 3:15:39
213,3,216,2018-09-01 3:30:39
194,3,197,2018-09-01 3:45:40
177,0,177,2018-09-01 4:00:39
143,2,145,2018-09-01 4:15:40
167,1,158,2018-09-01 4:30:39
164,3,167,2018-09-01 4:45:39
147,0,146,2018-09-01 5:00:39
138,0,138,2018-09-01 5:15:39
110,0,110,2018-09-01 5:30:39
107,0,107,2018-09-01 5:45:40
99,0,99,2018-09-01 6:00:40
91,0,91,2018-09-01 6:15:39
77,0,77,2018-09-01 6:34:21
75,0,72,2018-09-01 6:45:39
73,1,74,2018-09-01 7:00:39
76,0,76,2018-09-01 7:15:41
97,3,100,2018-09-01 7:30:41
109,3,112,2018-09-01 7:45:41
84,0,84,2018-09-01 8:00:41
101,0,92,2018-09-01 8:15:41
118,1,119,2018-09-01 8:30:41
109,0,109,2018-09-01 8:45:40
82,0,82,2018-09-01 9:00:41
98,0,98,2018-09-01 9:15:41
114,0,106,2018-09-01 9:30:40
141,0,141,2018-09-01 9:45:42
105,1,106,2018-09-01 10:00:40
133,1,134,2018-09-01 10:15:41
154,3,157,2018-09-01 10:30:40
203,2,205,2018-09-01 10:45:41
156,0,156,2018-09-01 11:00:41
165,0,165,2018-09-01 11:15:40
200,0,200,2018-09-01 11:30:41
292,1,293,2018-09-01 11:45:40
223,0,223,2018-09-01 12:00:41
242,2,244,2018-09-01 12:15:40
245,2,247,2018-09-01 12:30:40
295,0,295,2018-09-01 12:45:41
193,1,194,2018-09-01 13:00:40
133,3,136,2018-09-01 13:15:41
132,0,132,2018-09-01 13:30:40
168,0,168,2018-09-01 13:45:40
184,0,184,2018-09-01 14:00:41
190,1,191,2018-09-01 14:15:40
240,1,241,2018-09-01 14:30:41
244,0,244,2018-09-01 14:45:40
194,0,193,2018-09-01 15:00:40
251,4,255,2018-09-01 15:15:39
271,3,274,2018-09-01 15:30:40
280,5,285,2018-09-01 15:45:40
323,4,327,2018-09-01 16:00:40
299,1,300,2018-09-01 16:15:40
300,4,304,2018-09-01 16:30:40
292,2,294,2018-09-01 16:45:40
244,5,249,2018-09-01 17:00:40
250,2,248,2018-09-01 17:15:40
235,1,236,2018-09-01 17:30:40
296,3,299,2018-09-01 17:45:40
285,2,287,2018-09-01 18:00:40
335,4,339,2018-09-01 18:15:40
356,1,357,2018-09-01 18:30:40
356,2,358,2018-09-01 18:45:40
328,5,333,2018-09-01 19:00:39
330,7,337,2018-09-01 19:15:40
382,3,375,2018-09-01 19:30:40
