queries/correct,queries/error,users,timestamp
645,14,659,2018-08-01 19:43:11
650,16,666,2018-08-01 19:45:24
637,11,648,2018-08-01 20:00:26
832,13,845,2018-08-01 20:15:24
876,13,889,2018-08-01 20:30:24
805,12,817,2018-08-01 20:45:24
729,8,737,2018-08-01 21:00:26
766,7,773,2018-08-01 21:15:24
758,4,762,2018-08-01 21:30:24
755,1,747,2018-08-01 21:45:23
643,8,651,2018-08-01 22:00:26
722,6,723,2018-08-01 22:15:24
698,8,706,2018-08-01 22:30:23
635,6,636,2018-08-01 22:45:24
593,7,600,2018-08-01 23:00:24
645,5,650,2018-08-01 23:15:24
548,3,551,2018-08-01 23:30:23
504,5,509,2018-08-01 23:45:24
398,3,401,2018-08-02 0:00:24
449,2,451,2018-08-02 0:15:24
396,4,400,2018-08-02 0:30:23
330,3,333,2018-08-02 0:45:23
279,4,283,2018-08-02 1:00:24
342,4,346,2018-08-02 1:15:23
309,5,314,2018-08-02 1:30:24
344,3,347,2018-08-02 1:45:23
306,4,310,2018-08-02 2:00:24
381,2,383,2018-08-02 2:15:24
328,2,330,2018-08-02 2:30:23
288,3,291,2018-08-02 2:45:23
265,2,267,2018-08-02 3:00:23
232,2,234,2018-08-02 3:15:23
204,2,206,2018-08-02 3:30:24
202,2,204,2018-08-02 3:45:23
202,1,197,2018-08-02 4:00:27
68,0,68,2018-08-02 4:15:23
43,0,42,2018-08-02 4:30:24
34,0,34,2018-08-02 4:45:23
32,0,32,2018-08-02 5:00:26
29,0,29,2018-08-02 5:15:23
38,0,29,2018-08-02 5:30:23
26,0,26,2018-08-02 5:45:23
26,0,26,2018-08-02 6:00:25
24,0,24,2018-08-02 6:15:23
22,0,22,2018-08-02 6:34:12
21,0,21,2018-08-02 6:45:23
30,0,30,2018-08-02 7:00:25
63,0,54,2018-08-02 7:15:24
52,0,52,2018-08-02 7:30:24
73,0,73,2018-08-02 7:45:24
69,0,69,2018-08-02 8:00:25
76,1,77,2018-08-02 8:15:24
128,1,127,2018-08-02 8:30:24
218,1,219,2018-08-02 8:45:25
181,0,181,2018-08-02 9:00:25
264,1,265,2018-08-02 9:15:24
404,4,408,2018-08-02 9:30:25
711,6,710,2018-08-02 9:45:24
654,9,663,2018-08-02 10:00:24
635,9,644,2018-08-02 10:15:24
640,9,649,2018-08-02 10:30:24
783,19,802,2018-08-02 10:45:24
606,18,624,2018-08-02 11:00:24
452,12,464,2018-08-02 11:15:24
421,10,431,2018-08-02 11:30:24
429,1,430,2018-08-02 11:45:24
319,3,322,2018-08-02 12:00:24
297,2,299,2018-08-02 12:15:25
308,2,310,2018-08-02 12:30:24
294,3,297,2018-08-02 12:45:24
268,4,272,2018-08-02 13:00:25
285,3,288,2018-08-02 13:15:24
308,4,302,2018-08-02 13:30:25
317,1,318,2018-08-02 13:45:24
272,0,272,2018-08-02 14:00:24
281,1,282,2018-08-02 14:15:24
315,2,317,2018-08-02 14:30:24
356,1,357,2018-08-02 14:45:24
332,4,336,2018-08-02 15:00:24
342,8,350,2018-08-02 15:15:24
336,6,342,2018-08-02 15:30:24
377,5,382,2018-08-02 15:45:24
340,2,342,2018-08-02 16:00:23
434,3,437,2018-08-02 16:15:24
368,7,375,2018-08-02 16:30:24
390,7,397,2018-08-02 16:45:24
350,6,356,2018-08-02 17:00:25
561,7,568,2018-08-02 17:15:24
484,3,487,2018-08-02 17:30:24
446,6,452,2018-08-02 17:45:24
401,3,404,2018-08-02 18:00:25
469,3,472,2018-08-02 18:15:23
475,5,478,2018-08-02 18:30:24
492,4,496,2018-08-02 18:45:23
452,6,452,2018-08-02 19:00:24
576,9,585,2018-08-02 19:15:24
579,9,588,2018-08-02 19:30:24
634,6,631,2018-08-02 19:45:23
628,4,632,2018-08-02 20:00:24
832,7,839,2018-08-02 20:15:25
842,12,854,2018-08-02 20:30:23
837,7,844,2018-08-02 20:45:24
730,5,735,2018-08-02 21:00:23
762,12,774,2018-08-02 21:15:24
712,15,727,2018-08-02 21:30:23
719,9,728,2018-08-02 21:45:23
700,5,705,2018-08-02 22:00:23
770,9,779,2018-08-02 22:15:23
695,8,703,2018-08-02 22:30:23
629,8,637,2018-08-02 22:45:23
576,8,584,2018-08-02 23:00:25
563,3,566,2018-08-02 23:15:23
551,3,554,2018-08-02 23:30:23
443,2,445,2018-08-02 23:45:23
390,5,395,2018-08-03 0:00:28
466,4,470,2018-08-03 0:15:23
373,1,374,2018-08-03 0:30:23
331,0,331,2018-08-03 0:45:23
307,4,311,2018-08-03 1:00:26
339,5,344,2018-08-03 1:15:23
304,3,307,2018-08-03 1:30:23
320,2,322,2018-08-03 1:45:23
398,2,392,2018-08-03 2:00:25
341,2,343,2018-08-03 2:15:23
336,5,333,2018-08-03 2:30:22
244,3,247,2018-08-03 2:45:23
201,4,205,2018-08-03 3:00:24
179,2,181,2018-08-03 3:15:22
168,1,169,2018-08-03 3:30:22
154,1,147,2018-08-03 3:45:23
159,2,161,2018-08-03 4:00:23
87,1,88,2018-08-03 4:15:22
70,1,71,2018-08-03 4:30:23
63,0,63,2018-08-03 4:45:23
55,0,55,2018-08-03 5:00:22
34,0,34,2018-08-03 5:15:23
25,0,25,2018-08-03 5:30:22
24,0,24,2018-08-03 5:45:23
23,0,23,2018-08-03 6:00:23
23,0,23,2018-08-03 6:15:22
22,0,22,2018-08-03 6:34:14
21,0,21,2018-08-03 6:45:23
27,0,27,2018-08-03 7:00:22
55,1,56,2018-08-03 7:15:24
62,1,63,2018-08-03 7:30:24
59,0,59,2018-08-03 7:45:24
61,0,61,2018-08-03 8:00:26
90,2,89,2018-08-03 8:15:24
110,1,111,2018-08-03 8:30:24
177,1,178,2018-08-03 8:45:24
162,0,162,2018-08-03 9:00:24
232,0,232,2018-08-03 9:15:24
372,7,379,2018-08-03 9:30:24
650,8,658,2018-08-03 9:45:24
589,5,594,2018-08-03 10:00:24
562,10,572,2018-08-03 10:15:24
593,16,609,2018-08-03 10:30:23
749,12,761,2018-08-03 10:45:25
557,9,566,2018-08-03 11:00:25
442,7,449,2018-08-03 11:15:24
387,8,395,2018-08-03 11:30:24
346,4,350,2018-08-03 11:45:24
285,3,288,2018-08-03 12:00:23
260,2,262,2018-08-03 12:15:24
293,1,294,2018-08-03 12:30:23
313,3,316,2018-08-03 12:45:23
292,1,293,2018-08-03 13:00:26
308,1,309,2018-08-03 13:15:23
288,3,291,2018-08-03 13:30:24
343,7,350,2018-08-03 13:45:24
302,2,304,2018-08-03 14:00:26
322,2,324,2018-08-03 14:15:23
351,3,354,2018-08-03 14:30:24
351,3,354,2018-08-03 14:45:23
352,5,357,2018-08-03 15:00:25
378,3,373,2018-08-03 15:15:24
383,3,386,2018-08-03 15:30:23
412,1,413,2018-08-03 15:45:24
390,4,394,2018-08-03 16:00:24
504,1,505,2018-08-03 16:15:23
501,4,505,2018-08-03 16:30:23
508,11,514,2018-08-03 16:45:24
447,9,456,2018-08-03 17:00:24
657,8,665,2018-08-03 17:15:24
586,6,592,2018-08-03 17:30:23
473,7,480,2018-08-03 17:45:24
434,6,440,2018-08-03 18:00:23
496,4,500,2018-08-03 18:15:23
505,4,509,2018-08-03 18:30:23
499,4,503,2018-08-03 18:45:23
463,6,469,2018-08-03 19:00:23
553,5,558,2018-08-03 19:15:23
536,7,543,2018-08-03 19:30:23
523,9,532,2018-08-03 19:45:23
500,6,506,2018-08-03 20:00:24
612,6,618,2018-08-03 20:15:23
551,6,557,2018-08-03 20:30:22
568,8,576,2018-08-03 20:45:23
522,3,525,2018-08-03 21:00:23
545,3,548,2018-08-03 21:15:23
557,6,563,2018-08-03 21:30:23
600,4,604,2018-08-03 21:45:23
526,2,528,2018-08-03 22:00:25
576,6,582,2018-08-03 22:15:22
549,4,553,2018-08-03 22:30:22
531,3,531,2018-08-03 22:45:23
467,7,474,2018-08-03 23:00:25
539,8,547,2018-08-03 23:15:23
476,3,479,2018-08-03 23:30:23
467,4,471,2018-08-03 23:45:23
498,2,500,2018-08-04 0:00:24
454,4,458,2018-08-04 0:15:23
377,2,373,2018-08-04 0:30:23
304,1,305,2018-08-04 0:45:22
282,3,285,2018-08-04 1:00:26
292,4,296,2018-08-04 1:15:22
301,5,306,2018-08-04 1:30:23
259,5,264,2018-08-04 1:45:22
277,4,281,2018-08-04 2:00:23
294,8,302,2018-08-04 2:15:23
280,3,283,2018-08-04 2:30:23
296,2,298,2018-08-04 2:45:22
283,4,287,2018-08-04 3:00:23
270,7,277,2018-08-04 3:15:23
236,6,242,2018-08-04 3:30:23
200,2,202,2018-08-04 3:45:22
179,0,179,2018-08-04 4:00:23
153,0,153,2018-08-04 4:15:23
149,1,150,2018-08-04 4:30:22
118,0,118,2018-08-04 4:45:22
140,1,141,2018-08-04 5:00:22
120,1,121,2018-08-04 5:15:22
115,0,115,2018-08-04 5:30:22
95,0,95,2018-08-04 5:45:22
60,0,60,2018-08-04 6:00:22
68,0,68,2018-08-04 6:15:22
78,0,72,2018-08-04 6:34:24
56,0,56,2018-08-04 6:45:22
73,0,65,2018-08-04 7:00:22
75,0,75,2018-08-04 7:15:24
77,0,77,2018-08-04 7:30:24
86,0,86,2018-08-04 7:45:23
80,2,82,2018-08-04 8:00:24
81,1,82,2018-08-04 8:15:24
106,1,107,2018-08-04 8:30:24
139,0,139,2018-08-04 8:45:23
89,0,89,2018-08-04 9:00:25
91,1,92,2018-08-04 9:15:23
110,1,111,2018-08-04 9:30:23
139,0,139,2018-08-04 9:45:23
97,0,97,2018-08-04 10:00:24
130,0,130,2018-08-04 10:15:24
149,1,150,2018-08-04 10:30:23
233,0,226,2018-08-04 10:45:23
185,1,186,2018-08-04 11:00:24
201,1,202,2018-08-04 11:15:23
217,3,220,2018-08-04 11:30:23
244,2,246,2018-08-04 11:45:24
209,2,211,2018-08-04 12:00:23
242,1,243,2018-08-04 12:15:24
260,2,262,2018-08-04 12:30:23
274,2,276,2018-08-04 12:45:23
256,3,259,2018-08-04 13:00:23
261,1,262,2018-08-04 13:15:23
294,2,296,2018-08-04 13:30:23
298,4,302,2018-08-04 13:45:23
283,2,285,2018-08-04 14:00:22
304,0,304,2018-08-04 14:15:23
269,2,271,2018-08-04 14:30:23
291,4,295,2018-08-04 14:45:23
265,1,266,2018-08-04 15:00:26
